shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED,39.3151177,-76.7648777,1,0.0
RED,39.3148482,-76.7641857,2,0.041482197788335395
RED,39.3145039,-76.7627749,3,0.12072726966785818
RED,39.3130764,-76.7556404,4,0.5155338593064994
RED,39.3129169,-76.7547997,5,0.5619104955270741
RED,39.3127906,-76.7538732,6,0.6123196759622126
RED,39.3127177,-76.7530206,7,0.6582859181628654
RED,39.3127154,-76.7520071,8,0.7125990171470551
RED,39.3127281,-76.7501438,9,0.8124560012252616
RED,39.3125898,-76.7484371,10,0.9044133916945201
RED,39.3125405,-76.7479113,11,0.9327952703761081
RED,39.3124993,-76.747627,12,0.9482936234446772
RED,39.3124,-76.747332,13,0.9655229172695906
RED,39.3122204,-76.7469314,14,0.9903096877924337
RED,39.3119536,-76.7466381,15,1.014513186148685
RED,39.3115069,-76.7462479,16,1.0517540308689264
RED,39.3111559,-76.7460071,17,1.079191998355945
RED,39.3108832,-76.7456577,18,1.1057346970222233
RED,39.3102115,-76.743657,19,1.2225389005101424
RED,39.3099633,-76.7432936,20,1.2484705435650654
RED,39.3096653,-76.7430052,21,1.27419019883992
RED,39.3087788,-76.7423211,22,1.3454933495520776
RED,39.3081967,-76.7417384,23,1.396363333419482
RED,39.3075467,-76.7405613,24,1.4737605101358158
RED,39.3070581,-76.7392003,25,1.5541127107494197
RED,39.3067584,-76.7377593,26,1.634061001240901
RED,39.3066081,-76.736211,27,1.7176858876057015
RED,39.306517,-76.7347438,28,1.796569897368735
RED,39.3063426,-76.7334725,29,1.8657582718939927
RED,39.30586,-76.73115,30,1.9946067924431166
RED,39.3052288,-76.7285551,31,2.1403375195248184
RED,39.3042404,-76.7223232,32,2.481228141171764
RED,39.3032879,-76.7190209,33,2.670022703384059
RED,39.3022917,-76.7160378,34,2.8440518708431464
RED,39.3017937,-76.7152011,35,2.900543711688303
RED,39.3008969,-76.7141068,36,2.9857934449337566
RED,39.3003826,-76.7133024,37,3.041629389397395
RED,39.2994,-76.71171,38,3.1506232637869185
RED,39.29844,-76.70991,39,3.2676456728454975
RED,39.29585,-76.70647,40,3.5244000188355975
RED,39.2931287,-76.7026907,41,3.8005925725082137
RED,39.2928828,-76.7022253,42,3.830761065464413
RED,39.2926866,-76.7016715,43,3.863387226792119
RED,39.2926088,-76.7011762,44,3.8904746752190635
RED,39.2925974,-76.7006246,45,3.9200535116894795
RED,39.29316,-76.697,46,4.11818694192215
RED,39.2932608,-76.6962001,47,4.161625208346081
RED,39.2933117,-76.6954003,48,4.204641423364194
RED,39.29438,-76.6656,49,5.803749913470302
RED,39.294451,-76.6635494,50,5.913778050889849
RED,39.2944141,-76.6633549,51,5.924510164693185
RED,39.2943237,-76.6631913,52,5.935270997375307
RED,39.2932872,-76.6624674,53,6.016624879267201
RED,39.2932115,-76.6623678,54,6.024093211843315
RED,39.2931857,-76.6622039,55,6.033057421824363
RED,39.29339,-76.65687,56,6.319324157354106
RED,39.29344,-76.65465,57,6.438375305516361
RED,39.29325,-76.65337,58,6.508229378033219
RED,39.29317,-76.65174,59,6.595778483634682
