trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3203954,09:48:48,09:48:48,12613,1,,0,1,,1
3203954,09:49:08,09:49:08,12376,2,,0,0,0.0461,0
3203954,09:50:35,09:50:35,2420,3,,0,0,0.3248,0
3203954,09:51:27,09:51:27,2422,4,,0,0,0.6625,0
3203954,09:52:29,09:52:29,14158,5,,0,0,0.8878,0
3203954,09:53:48,09:53:48,2425,6,,0,0,1.3396,0
3203954,09:54:53,09:54:53,2427,7,,0,0,1.565,0
3203954,09:55:36,09:55:36,10439,8,,0,0,1.8705,0
3203954,09:56:17,09:56:17,12405,9,,0,0,2.1241,0
3203954,09:57:08,09:57:08,8601,10,,0,0,2.3715,0
3203954,09:58:25,09:58:25,2444,11,,0,0,2.6891,1
3203954,09:58:47,09:58:47,2445,12,,0,0,2.8985,0
3203954,10:00:02,10:00:02,13589,13,,0,0,3.3173,0
3203954,10:01:50,10:01:50,2450,14,,0,0,3.6238,0
3203954,10:02:42,10:02:42,8355,15,,0,0,4.0485,0
3203954,10:03:01,10:03:01,967,16,,0,0,4.2189,0
3203954,10:03:51,10:03:51,8566,17,,0,0,4.3681,0
3203954,10:04:15,10:04:15,10573,18,,0,0,4.4863,1
3203954,10:04:47,10:04:47,2472,19,,0,0,4.6386,0
3203954,10:05:00,10:05:00,2473,20,,0,0,4.7929,0
3203954,10:05:17,10:05:17,2474,21,,0,0,4.927,0
3203954,10:06:06,10:06:06,2475,22,,0,0,5.2354,0
3203954,10:06:30,10:06:30,2476,23,,0,0,5.3807,0
3203954,10:07:17,10:07:17,2478,24,,0,0,5.616,0
3203954,10:08:48,10:08:48,2440,25,,0,0,5.8945,0
3203954,10:11:03,10:11:03,2481,26,,0,0,6.1971,0
3203954,10:12:28,10:12:28,3409,27,,0,0,6.84,0
3203954,10:13:06,10:13:06,13839,28,,0,0,7.2267,0
3203954,10:14:40,10:14:40,13840,29,,0,0,7.4344,0
3203954,10:15:15,10:15:15,13841,30,,0,0,7.7833,1
3203954,10:16:23,10:16:23,13843,31,,0,0,8.0224,0
3203954,10:17:11,10:17:11,13844,32,,0,0,8.4241,0
3203954,10:19:25,10:19:25,13846,33,,0,0,9.0751,0
3203954,10:19:47,10:19:47,13847,34,,0,0,9.1923,0
3203954,10:22:09,10:22:09,5013,35,,0,0,9.6904,0
3203954,10:22:54,10:22:54,10508,36,,0,0,9.918,0
3203954,10:23:28,10:23:28,10510,37,,0,0,10.1593,0
3203954,10:23:46,10:23:46,10511,38,,0,0,10.385,0
3203954,10:24:18,10:24:18,10512,39,,0,0,10.684,0
3203954,10:24:31,10:24:31,10513,40,,0,0,10.8253,0
3203954,10:24:55,10:24:55,5019,41,,0,0,11.0075,0
3203954,10:26:05,10:26:05,5021,42,,0,0,11.2929,0
3203954,10:26:37,10:26:37,5022,43,,0,0,11.5754,1
3203954,10:27:03,10:27:03,4880,44,,0,0,11.7578,0
3203954,10:27:35,10:27:35,5024,45,,0,0,11.9231,0
3203954,10:27:59,10:27:59,5025,46,,0,0,12.2105,0
3203954,10:28:54,10:28:54,4166,47,,0,0,12.513,0
3203954,10:29:10,10:29:10,4168,48,,0,0,12.5906,0
3203954,10:29:31,10:29:31,320,49,,0,0,12.723,0
3203954,10:29:49,10:29:49,321,50,,0,0,12.9279,0
3203954,10:30:28,10:30:28,4171,51,,0,0,13.5693,0
3203954,10:32:28,10:32:28,10249,52,,0,0,13.8217,0
3203954,10:32:57,10:32:57,8984,53,,1,0,14.0498,1
3203955,09:01:57,09:01:57,12613,1,,0,1,,1
3203955,09:02:03,09:02:03,12376,2,,0,0,0.0461,0
3203955,09:02:51,09:02:51,2420,3,,0,0,0.3248,0
3203955,09:04:07,09:04:07,2422,4,,0,0,0.6625,0
3203955,09:04:43,09:04:43,14158,5,,0,0,0.8878,0
3203955,09:06:17,09:06:17,2425,6,,0,0,1.3396,0
3203955,09:06:54,09:06:54,2427,7,,0,0,1.565,0
3203955,09:07:32,09:07:32,10439,8,,0,0,1.8705,0
3203955,09:08:27,09:08:27,12405,9,,0,0,2.1241,0
3203955,09:09:05,09:09:05,8601,10,,0,0,2.3715,0
3203955,09:09:46,09:09:46,2444,11,,0,0,2.6891,1
3203955,09:11:12,09:11:12,2445,12,,0,0,2.8985,0
3203955,09:12:12,09:12:12,13589,13,,0,0,3.3173,0
3203955,09:13:03,09:13:03,2450,14,,0,0,3.6238,0
