trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3203954,09:50:00,09:50:00,12613,1,,0,1,,1
3203954,09:50:23,09:50:23,12376,2,,0,0,0.0461,0
3203954,09:51:15,09:51:15,2420,3,,0,0,0.3248,0
3203954,09:51:53,09:51:53,2422,4,,0,0,0.6625,0
3203954,09:52:27,09:52:27,14158,5,,0,0,0.8878,0
3203954,09:53:46,09:53:46,2425,6,,0,0,1.3396,0
3203954,09:54:44,09:54:44,2427,7,,0,0,1.565,0
3203954,09:55:22,09:55:22,10439,8,,0,0,1.8705,0
3203954,09:56:20,09:56:20,12405,9,,0,0,2.1241,0
3203954,09:57:01,09:57:01,8601,10,,0,0,2.3715,0
3203954,09:57:28,09:57:28,2444,11,,0,0,2.6891,1
3203954,09:58:23,09:58:23,2445,12,,0,0,2.8985,0
3203954,09:59:25,09:59:25,13589,13,,0,0,3.3173,0
3203954,10:00:06,10:00:06,2450,14,,0,0,3.6238,0
3203954,10:01:04,10:01:04,8355,15,,0,0,4.0485,0
3203954,10:01:36,10:01:36,967,16,,0,0,4.2189,0
3203954,10:01:54,10:01:54,8566,17,,0,0,4.3681,0
3203954,10:02:21,10:02:21,10573,18,,0,0,4.4863,1
3203954,10:03:28,10:03:28,2472,19,,0,0,4.6386,0
3203954,10:03:41,10:03:41,2473,20,,0,0,4.7929,0
3203954,10:03:56,10:03:56,2474,21,,0,0,4.927,0
3203954,10:04:40,10:04:40,2475,22,,0,0,5.2354,0
3203954,10:05:20,10:05:20,2476,23,,0,0,5.3807,0
3203954,10:05:56,10:05:56,2478,24,,0,0,5.616,0
3203954,10:07:36,10:07:36,2440,25,,0,0,5.8945,0
3203954,10:09:47,10:09:47,2481,26,,0,0,6.1971,0
3203954,10:12:18,10:12:18,3409,27,,0,0,6.84,0
3203954,10:13:12,10:13:12,13839,28,,0,0,7.2267,0
3203954,10:14:01,10:14:01,13840,29,,0,0,7.4344,0
3203954,10:14:55,10:14:55,13841,30,,0,0,7.7833,1
