trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3203954,09:54:43,09:54:43,12613,1,,0,1,,1
3203954,09:55:00,09:55:00,12376,2,,0,0,0.0461,0
3203954,09:55:59,09:55:59,2420,3,,0,0,0.3248,0
3203954,09:56:42,09:56:42,2422,4,,0,0,0.6625,0
3203954,09:57:28,09:57:28,14158,5,,0,0,0.8878,0
3203954,09:58:23,09:58:23,2425,6,,0,0,1.3396,0
3203954,09:58:52,09:58:52,2427,7,,0,0,1.565,0
3203954,09:59:31,09:59:31,10439,8,,0,0,1.8705,0
3203954,10:00:02,10:00:02,12405,9,,0,0,2.1241,0
3203954,10:00:47,10:00:47,8601,10,,0,0,2.3715,0
3203954,10:02:01,10:02:01,2444,11,,0,0,2.6891,1
3203954,10:03:01,10:03:01,2445,12,,0,0,2.8985,0
3203954,10:04:07,10:04:07,13589,13,,0,0,3.3173,0
3203954,10:04:48,10:04:48,2450,14,,0,0,3.6238,0
3203954,10:05:35,10:05:35,8355,15,,0,0,4.0485,0
3203954,10:05:53,10:05:53,967,16,,0,0,4.2189,0
3203954,10:06:24,10:06:24,8566,17,,0,0,4.3681,0
3203954,10:06:42,10:06:42,10573,18,,0,0,4.4863,1
3203954,10:07:10,10:07:10,2472,19,,0,0,4.6386,0
3203954,10:07:24,10:07:24,2473,20,,0,0,4.7929,0
3203954,10:07:40,10:07:40,2474,21,,0,0,4.927,0
3203954,10:08:46,10:08:46,2475,22,,0,0,5.2354,0
3203954,10:09:12,10:09:12,2476,23,,0,0,5.3807,0
3203954,10:09:44,10:09:44,2478,24,,0,0,5.616,0
3203954,10:10:23,10:10:23,2440,25,,0,0,5.8945,0
3203954,10:11:23,10:11:23,2481,26,,0,0,6.1971,0
3203954,10:13:02,10:13:02,3409,27,,0,0,6.84,0
3203954,10:14:31,10:14:31,13839,28,,0,0,7.2267,0
3203954,10:15:02,10:15:02,13840,29,,0,0,7.4344,0
3203954,10:15:33,10:15:33,13841,30,,0,0,7.7833,1
3203954,10:16:10,10:16:10,13843,31,,0,0,8.0224,0
3203954,10:17:12,10:17:12,13844,32,,0,0,8.4241,0
3203954,10:19:10,10:19:10,13846,33,,0,0,9.0751,0
3203954,10:19:23,10:19:23,13847,34,,0,0,9.1923,0
3203954,10:20:25,10:20:25,5013,35,,0,0,9.6904,0
3203954,10:21:05,10:21:05,10508,36,,0,0,9.918,0
3203954,10:21:33,10:21:33,10510,37,,0,0,10.1593,0
3203954,10:21:45,10:21:45,10511,38,,0,0,10.385,0
3203954,10:22:10,10:22:10,10512,39,,0,0,10.684,0
3203954,10:22:23,10:22:23,10513,40,,0,0,10.8253,0
3203954,10:22:46,10:22:46,5019,41,,0,0,11.0075,0
3203954,10:23:47,10:23:47,5021,42,,0,0,11.2929,0
3203954,10:24:17,10:24:17,5022,43,,0,0,11.5754,1
3203954,10:24:36,10:24:36,4880,44,,0,0,11.7578,0
3203954,10:24:49,10:24:49,5024,45,,0,0,11.9231,0
3203954,10:25:11,10:25:11,5025,46,,0,0,12.2105,0
3203954,10:27:05,10:27:05,4166,47,,0,0,12.513,0
3203954,10:27:22,10:27:22,4168,48,,0,0,12.5906,0
3203954,10:29:07,10:29:07,320,49,,0,0,12.723,0
3203954,10:29:19,10:29:19,321,50,,0,0,12.9279,0
3203954,10:29:58,10:29:58,4171,51,,0,0,13.5693,0
3203954,10:31:37,10:31:37,10249,52,,0,0,13.8217,0
3203954,10:32:06,10:32:06,8984,53,,1,0,14.0498,1
3203985,09:09:36,09:09:36,8984,1,,0,1,,1
3203985,09:10:24,09:10:24,10494,2,,0,0,0.2604,0
3203985,09:11:04,09:11:04,10496,3,,0,0,0.7912,0
3203985,09:11:26,09:11:26,10754,4,,0,0,0.9732,0
3203985,09:11:43,09:11:43,4308,5,,0,0,1.1477,0
3203985,09:12:00,09:12:00,4309,6,,0,0,1.2687,0
3203985,09:12:21,09:12:21,4310,7,,0,0,1.5361,0
3203985,09:12:49,09:12:49,13848,8,,0,0,1.8586,0
3203985,09:13:28,09:13:28,4881,9,,0,0,2.2062,1
3203985,09:13:56,09:13:56,4882,10,,0,0,2.4888,0
3203985,09:14:25,09:14:25,4884,11,,0,0,2.7742,0
3203985,09:14:50,09:14:50,4885,12,,0,0,2.9564,0
3203985,09:15:07,09:15:07,4886,13,,0,0,3.1938,0
3203985,09:15:19,09:15:19,4887,14,,0,0,3.3822,0
3203985,09:15:32,09:15:32,4888,15,,0,0,3.6223,0
3203985,09:16:22,09:16:22,4890,16,,0,0,4.0912,0
3203985,09:16:57,09:16:57,4893,17,,0,0,4.3251,0
3203985,09:17:37,09:17:37,13850,18,,0,0,4.7066,0
3203985,09:17:55,09:17:55,13851,19,,0,0,4.8467,0
3203985,09:18:41,09:18:41,13852,20,,0,0,5.3576,0
3203985,09:19:09,09:19:09,13853,21,,0,0,5.7593,0
3203985,09:19:28,09:19:28,13854,22,,0,0,5.9983,1
3203985,09:19:45,09:19:45,13855,23,,0,0,6.2667,0
3203985,09:20:19,09:20:19,10251,24,,0,0,6.7134,0
3203985,09:20:36,09:20:36,3628,25,,0,0,6.9247,0
3203985,09:22:10,09:22:10,2647,26,,0,0,7.6517,0
3203985,09:22:27,09:22:27,2649,27,,0,0,7.8871,0
3203985,09:22:56,09:22:56,12303,28,,0,0,8.0513,0
3203985,09:23:28,09:23:28,2653,29,,0,0,8.2878,0
3203985,09:24:08,09:24:08,2655,30,,0,0,8.5421,0
3203985,09:24:19,09:24:19,2656,31,,0,0,8.7615,0
3203985,09:24:44,09:24:44,2658,32,,0,0,9.0289,0
3203985,09:24:57,09:24:57,2659,33,,0,0,9.1811,0
3203985,09:25:10,09:25:10,14142,34,,0,0,9.2993,1
3203985,09:25:46,09:25:46,831,35,,0,0,9.5276,0
3203985,09:26:01,09:26:01,832,36,,0,0,9.6769,0
3203985,09:26:17,09:26:17,9571,37,,0,0,9.9142,0
3203985,09:26:36,09:26:36,6768,38,,0,0,10.1578,0
3203985,09:26:56,09:26:56,2693,39,,0,0,10.281,0
3203985,09:27:18,09:27:18,2695,40,,0,0,10.5264,0
3203985,09:28:15,09:28:15,2697,41,,0,0,10.8831,0
3203985,09:29:16,09:29:16,10579,42,,0,0,11.1426,1
3203985,09:30:32,09:30:32,14194,43,,0,0,11.41,0
3203985,09:31:05,09:31:05,8924,44,,0,0,11.6575,0
3203985,09:31:58,09:31:58,2704,45,,0,0,11.9111,0
3203985,09:32:35,09:32:35,2706,46,,0,0,12.2166,0
3203985,09:33:00,09:33:00,2708,47,,0,0,12.442,0
3203985,09:34:05,09:34:05,14157,48,,0,0,12.8938,0
3203985,09:34:30,09:34:30,2714,49,,0,0,13.1191,0
3203985,09:35:09,09:35:09,2715,50,,0,0,13.3456,0
3203985,09:35:33,09:35:33,2718,51,,0,0,13.6232,0
3203985,09:36:05,09:36:05,12513,52,,0,0,13.8815,0
3203985,09:37:06,09:37:06,12292,53,,0,0,14.2811,0
3203985,09:38:11,09:38:11,12613,54,,1,0,14.5936,1
3204149,09:51:15,09:51:15,4098,1,,0,1,,1
3204149,09:51:55,09:51:55,4099,2,,0,0,0.1886,0
3204149,09:52:39,09:52:39,2030,3,,0,0,0.3932,1
3204149,09:53:33,09:53:33,2033,4,,0,0,0.5947,0
3204149,09:55:13,09:55:13,2034,5,,0,0,1.1304,0
3204149,09:55:31,09:55:31,2035,6,,0,0,1.2986,0
3204149,09:56:19,09:56:19,2036,7,,0,0,1.3948,0
3204149,09:57:32,09:57:32,4115,8,,0,0,1.8436,0
3204149,09:58:00,09:58:00,4116,9,,0,0,2.0239,0
3204149,09:59:18,09:59:18,4118,10,,0,0,2.2804,0
3204149,09:59:44,09:59:44,4119,11,,0,0,2.5471,0
3204149,10:00:15,10:00:15,4120,12,,0,0,2.6692,0
3204149,10:01:03,10:01:03,4123,13,,0,0,2.9878,1
3204149,10:01:55,10:01:55,10736,14,,0,0,3.1899,0
3204149,10:02:50,10:02:50,4125,15,,0,0,3.8381,0
3204149,10:03:16,10:03:16,879,16,,0,0,3.9811,0
3204149,10:03:38,10:03:38,880,17,,0,0,4.2463,0
3204149,10:05:22,10:05:22,10738,18,,0,0,4.5655,0
3204149,10:05:47,10:05:47,4129,19,,0,0,4.9285,1
3204149,10:06:07,10:06:07,10740,20,,0,0,5.1658,0
3204149,10:06:19,10:06:19,4131,21,,0,0,5.2692,0
3204149,10:07:09,10:07:09,12691,22,,0,0,5.6297,0
3204149,10:08:17,10:08:17,4134,23,,0,0,5.7527,1
3204149,10:09:07,10:09:07,4135,24,,0,0,5.9697,0
3204149,10:09:21,10:09:21,10918,25,,0,0,6.0807,0
3204149,10:09:44,10:09:44,10919,26,,0,0,6.3564,0
3204149,10:10:01,10:10:01,10920,27,,0,0,6.5488,0
3204149,10:11:07,10:11:07,3618,28,,0,0,7.0132,0
3204149,10:11:41,10:11:41,3620,29,,0,0,7.3019,0
3204149,10:12:02,10:12:02,3621,30,,0,0,7.5604,0
3204149,10:12:36,10:12:36,3623,31,,0,0,7.8249,0
3204149,10:13:15,10:13:15,4142,32,,0,0,8.1509,0
3204149,10:13:27,10:13:27,4143,33,,0,0,8.3123,0
3204149,10:14:47,10:14:47,4144,34,,0,0,8.594,0
3204149,10:16:45,10:16:45,4148,35,,0,0,9.0152,0
3204149,10:17:49,10:17:49,474,36,,0,0,9.1352,0
3204149,10:18:10,10:18:10,11378,37,,0,0,9.3422,0
3204149,10:18:33,10:18:33,475,38,,0,0,9.5082,0
3204149,10:19:05,10:19:05,476,39,,0,0,9.7793,0
3204149,10:20:38,10:20:38,478,40,,0,0,10.0824,1
3204149,10:21:26,10:21:26,4153,41,,0,0,10.4279,0
3204149,10:21:46,10:21:46,4154,42,,0,0,10.64,0
3204149,10:22:01,10:22:01,10744,43,,0,0,10.793,0
3204149,10:22:15,10:22:15,10745,44,,0,0,10.8813,0
3204149,10:23:09,10:23:09,10746,45,,0,0,11.1672,0
3204149,10:23:46,10:23:46,4159,46,,0,0,11.4846,0
3204149,10:25:52,10:25:52,4163,47,,0,0,11.9758,0
3204149,10:26:51,10:26:51,4164,48,,0,0,12.1402,0
3204149,10:27:01,10:27:01,14146,49,,0,0,12.2384,0
3204149,10:27:15,10:27:15,4165,50,,0,0,12.3725,0
3204149,10:27:58,10:27:58,4166,51,,0,0,12.6698,0
3204149,10:28:37,10:28:37,4168,52,,0,0,12.7475,1
3204149,10:29:17,10:29:17,320,53,,0,0,12.8799,0
3204149,10:29:34,10:29:34,321,54,,0,0,13.0847,0
3204149,10:30:38,10:30:38,4171,55,,0,0,13.7261,0
3204149,10:31:25,10:31:25,324,56,,0,0,13.9981,0
3204149,10:31:47,10:31:47,4172,57,,0,0,14.1905,0
3204149,10:32:32,10:32:32,326,58,,0,0,14.4813,0
3204149,10:33:28,10:33:28,22,59,,0,0,14.7488,0
3204149,10:34:49,10:34:49,327,60,,0,0,15.1592,0
3204149,10:35:06,10:35:06,4299,61,,0,0,15.2218,0
3204149,10:35:31,10:35:31,330,62,,0,0,15.3221,0
3204149,10:37:09,10:37:09,4177,63,,0,0,15.8995,0
3204149,10:37:38,10:37:38,5176,64,,0,0,16.2868,0
3204149,10:38:24,10:38:24,5245,65,,0,0,16.6152,0
3204149,10:38:39,10:38:39,6393,66,,0,0,16.6833,0
3204149,10:38:47,10:38:47,13521,67,,1,0,16.9305,1
3204227,08:53:26,08:53:26,4098,1,,0,1,,1
3204227,08:54:08,08:54:08,4099,2,,0,0,0.1886,0
3204227,08:54:45,08:54:45,2030,3,,0,0,0.3932,1
3204227,08:55:06,08:55:06,2033,4,,0,0,0.5947,0
3204227,08:56:22,08:56:22,2034,5,,0,0,1.1304,0
3204227,08:56:40,08:56:40,2035,6,,0,0,1.2986,0
3204227,08:57:11,08:57:11,2036,7,,0,0,1.3948,0
3204227,08:57:56,08:57:56,4115,8,,0,0,1.8436,0
3204227,08:58:21,08:58:21,4116,9,,0,0,2.0239,0
3204227,08:59:18,08:59:18,4118,10,,0,0,2.2804,0
3204227,08:59:58,08:59:58,4119,11,,0,0,2.5471,0
3204227,09:00:17,09:00:17,4120,12,,0,0,2.6692,0
3204227,09:00:46,09:00:46,4123,13,,0,0,2.9878,1
