trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3249569,09:30:32,09:30:32,5022,43,,0,0,11.5754,1
3249569,09:30:53,09:30:53,4880,44,,0,0,11.7578,0
3249569,09:31:29,09:31:29,5024,45,,0,0,11.9231,0
3249569,09:31:50,09:31:50,5025,46,,0,0,12.2105,0
3249569,09:32:41,09:32:41,4166,47,,0,0,12.513,0
3249569,09:33:03,09:33:03,4168,48,,0,0,12.5906,0
3249569,09:33:37,09:33:37,320,49,,0,0,12.723,0
3249569,09:33:47,09:33:47,321,50,,0,0,12.9279,0
3249569,09:34:21,09:34:21,4171,51,,0,0,13.5693,0
3249569,09:34:57,09:34:57,10249,52,,0,0,13.8217,0
3249569,09:35:26,09:35:26,8984,53,,1,0,14.0498,1
3249599,09:11:06,09:11:06,8984,1,,0,1,,1
3249599,09:12:00,09:12:00,10494,2,,0,0,0.2604,0
3249599,09:12:47,09:12:47,10496,3,,0,0,0.7912,0
3249599,09:13:07,09:13:07,10754,4,,0,0,0.9732,0
3249599,09:13:25,09:13:25,4308,5,,0,0,1.1477,0
3249599,09:14:26,09:14:26,4309,6,,0,0,1.2687,0
3249599,09:14:51,09:14:51,4310,7,,0,0,1.5361,0
3249599,09:15:20,09:15:20,13848,8,,0,0,1.8586,0
3249599,09:15:55,09:15:55,4881,9,,0,0,2.2062,1
3249599,09:16:29,09:16:29,4882,10,,0,0,2.4888,0
3249599,09:16:58,09:16:58,4884,11,,0,0,2.7742,0
3249599,09:17:31,09:17:31,4885,12,,0,0,2.9564,0
3249599,09:17:52,09:17:52,4886,13,,0,0,3.1938,0
3249599,09:18:05,09:18:05,4887,14,,0,0,3.3822,0
3249599,09:18:23,09:18:23,4888,15,,0,0,3.6223,0
3249599,09:19:46,09:19:46,4890,16,,0,0,4.0912,0
3249599,09:20:38,09:20:38,4893,17,,0,0,4.3251,0
3249599,09:22:17,09:22:17,13850,18,,0,0,4.7066,0
3249599,09:22:39,09:22:39,13851,19,,0,0,4.8467,0
3249599,09:24:38,09:24:38,13852,20,,0,0,5.3576,0
3249599,09:25:54,09:25:54,13853,21,,0,0,5.7593,0
3249599,09:26:59,09:26:59,13854,22,,0,0,5.9983,1
