trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3249568,09:52:57,09:52:57,12613,1,,0,1,,1
3249568,09:53:07,09:53:07,12376,2,,0,0,0.0461,0
3249568,09:54:31,09:54:31,2420,3,,0,0,0.3248,0
3249568,09:55:11,09:55:11,2422,4,,0,0,0.6625,0
3249568,09:56:36,09:56:36,14158,5,,0,0,0.8878,0
3249568,09:58:02,09:58:02,2425,6,,0,0,1.3396,0
3249568,09:58:33,09:58:33,2427,7,,0,0,1.565,0
3249568,09:59:11,09:59:11,10439,8,,0,0,1.8705,0
3249568,10:00:23,10:00:23,12405,9,,0,0,2.1241,0
3249568,10:00:51,10:00:51,8601,10,,0,0,2.3715,0
3249568,10:01:21,10:01:21,2444,11,,0,0,2.6891,1
3249568,10:02:46,10:02:46,2445,12,,0,0,2.8985,0
3249568,10:03:49,10:03:49,13589,13,,0,0,3.3173,0
3249568,10:04:43,10:04:43,2450,14,,0,0,3.6238,0
3249568,10:05:38,10:05:38,8355,15,,0,0,4.0485,0
3249568,10:06:04,10:06:04,967,16,,0,0,4.2189,0
3249568,10:06:37,10:06:37,8566,17,,0,0,4.3681,0
3249568,10:06:58,10:06:58,10573,18,,0,0,4.4863,1
3249568,10:07:12,10:07:12,2472,19,,0,0,4.6386,0
3249568,10:07:25,10:07:25,2473,20,,0,0,4.7929,0
3249568,10:07:41,10:07:41,2474,21,,0,0,4.927,0
3249568,10:10:04,10:10:04,2475,22,,0,0,5.2354,0
3249568,10:10:37,10:10:37,2476,23,,0,0,5.3807,0
3249568,10:11:04,10:11:04,2478,24,,0,0,5.616,0
3249568,10:11:42,10:11:42,2440,25,,0,0,5.8945,0
3249568,10:14:00,10:14:00,2481,26,,0,0,6.1971,0
3249568,10:15:32,10:15:32,3409,27,,0,0,6.84,0
3249568,10:16:16,10:16:16,13839,28,,0,0,7.2267,0
3249568,10:16:38,10:16:38,13840,29,,0,0,7.4344,0
3249568,10:17:54,10:17:54,13841,30,,0,0,7.7833,1
3249568,10:18:20,10:18:20,13843,31,,0,0,8.0224,0
3249568,10:20:02,10:20:02,13844,32,,0,0,8.4241,0
3249568,10:22:04,10:22:04,13846,33,,0,0,9.0751,0
3249568,10:22:22,10:22:22,13847,34,,0,0,9.1923,0
3249568,10:24:38,10:24:38,5013,35,,0,0,9.6904,0
3249568,10:25:39,10:25:39,10508,36,,0,0,9.918,0
3249568,10:26:09,10:26:09,10510,37,,0,0,10.1593,0
3249568,10:26:34,10:26:34,10511,38,,0,0,10.385,0
3249568,10:27:11,10:27:11,10512,39,,0,0,10.684,0
3249568,10:27:48,10:27:48,10513,40,,0,0,10.8253,0
3249568,10:28:10,10:28:10,5019,41,,0,0,11.0075,0
3249568,10:28:47,10:28:47,5021,42,,0,0,11.2929,0
3249568,10:29:19,10:29:19,5022,43,,0,0,11.5754,1
3249568,10:29:41,10:29:41,4880,44,,0,0,11.7578,0
3249568,10:29:58,10:29:58,5024,45,,0,0,11.9231,0
3249568,10:30:22,10:30:22,5025,46,,0,0,12.2105,0
3249568,10:30:50,10:30:50,4166,47,,0,0,12.513,0
3249568,10:31:02,10:31:02,4168,48,,0,0,12.5906,0
3249568,10:31:17,10:31:17,320,49,,0,0,12.723,0
3249568,10:31:34,10:31:34,321,50,,0,0,12.9279,0
3249568,10:32:32,10:32:32,4171,51,,0,0,13.5693,0
3249568,10:32:56,10:32:56,10249,52,,0,0,13.8217,0
3249568,10:33:25,10:33:25,8984,53,,1,0,14.0498,1
3249569,08:58:17,08:58:17,12613,1,,0,1,,1
3249569,08:58:22,08:58:22,12376,2,,0,0,0.0461,0
3249569,08:59:06,08:59:06,2420,3,,0,0,0.3248,0
3249569,08:59:46,08:59:46,2422,4,,0,0,0.6625,0
3249569,09:01:08,09:01:08,14158,5,,0,0,0.8878,0
3249569,09:03:04,09:03:04,2425,6,,0,0,1.3396,0
3249569,09:03:53,09:03:53,2427,7,,0,0,1.565,0
3249569,09:04:31,09:04:31,10439,8,,0,0,1.8705,0
3249569,09:05:06,09:05:06,12405,9,,0,0,2.1241,0
3249569,09:05:46,09:05:46,8601,10,,0,0,2.3715,0
3249569,09:07:06,09:07:06,2444,11,,0,0,2.6891,1
3249569,09:08:00,09:08:00,2445,12,,0,0,2.8985,0
3249569,09:08:54,09:08:54,13589,13,,0,0,3.3173,0
3249569,09:09:32,09:09:32,2450,14,,0,0,3.6238,0
3249569,09:10:11,09:10:11,8355,15,,0,0,4.0485,0
3249569,09:10:37,09:10:37,967,16,,0,0,4.2189,0
3249569,09:11:00,09:11:00,8566,17,,0,0,4.3681,0
3249569,09:11:12,09:11:12,10573,18,,0,0,4.4863,1
3249569,09:11:26,09:11:26,2472,19,,0,0,4.6386,0
3249569,09:11:37,09:11:37,2473,20,,0,0,4.7929,0
3249569,09:11:50,09:11:50,2474,21,,0,0,4.927,0
3249569,09:12:48,09:12:48,2475,22,,0,0,5.2354,0
3249569,09:13:06,09:13:06,2476,23,,0,0,5.3807,0
3249569,09:13:42,09:13:42,2478,24,,0,0,5.616,0
3249569,09:14:46,09:14:46,2440,25,,0,0,5.8945,0
3249569,09:17:12,09:17:12,2481,26,,0,0,6.1971,0
3249569,09:18:12,09:18:12,3409,27,,0,0,6.84,0
3249569,09:18:58,09:18:58,13839,28,,0,0,7.2267,0
3249569,09:19:47,09:19:47,13840,29,,0,0,7.4344,0
3249569,09:20:12,09:20:12,13841,30,,0,0,7.7833,1
3249569,09:20:55,09:20:55,13843,31,,0,0,8.0224,0
3249569,09:23:03,09:23:03,13844,32,,0,0,8.4241,0
3249569,09:25:06,09:25:06,13846,33,,0,0,9.0751,0
3249569,09:25:19,09:25:19,13847,34,,0,0,9.1923,0
3249569,09:26:17,09:26:17,5013,35,,0,0,9.6904,0
3249569,09:27:02,09:27:02,10508,36,,0,0,9.918,0
3249569,09:27:31,09:27:31,10510,37,,0,0,10.1593,0
3249569,09:27:54,09:27:54,10511,38,,0,0,10.385,0
3249569,09:28:39,09:28:39,10512,39,,0,0,10.684,0
3249569,09:29:28,09:29:28,10513,40,,0,0,10.8253,0
3249569,09:29:52,09:29:52,5019,41,,0,0,11.0075,0
3249569,09:30:30,09:30:30,5021,42,,0,0,11.2929,0
3249569,09:30:55,09:30:55,5022,43,,0,0,11.5754,1
3249569,09:31:17,09:31:17,4880,44,,0,0,11.7578,0
3249569,09:31:33,09:31:33,5024,45,,0,0,11.9231,0
3249569,09:31:56,09:31:56,5025,46,,0,0,12.2105,0
